감지일자,SKEL_ID,SKEL_지점명,거리(km),경쟁사_ID,경쟁사_지점명,운영사,용량,경쟁사_주소,총용량
2025-12-18,ST311704,일산복개천 공영주차장,0.775,ME183042,일산동 공영주차장,환경부,50.0,울산광역시 동구 일산동 948-4,
2025-12-18,ST311704,일산복개천 공영주차장,0.775,ME183042,일산동 공영주차장,환경부,50.0,울산광역시 동구 일산동 948-4,
2025-12-18,ST311706,대왕암공원 공영주차장,0.877,ME183042,일산동 공영주차장,환경부,50.0,울산광역시 동구 일산동 948-4,
2025-12-18,ST311706,대왕암공원 공영주차장,0.877,ME183042,일산동 공영주차장,환경부,50.0,울산광역시 동구 일산동 948-4,
2025-12-18,ST311706,대왕암공원 공영주차장,0.877,ME183042,일산동 공영주차장,환경부,50.0,울산광역시 동구 일산동 948-4,
2025-12-18,ST311706,대왕암공원 공영주차장,0.877,ME183042,일산동 공영주차장,환경부,50.0,울산광역시 동구 일산동 948-4,
2025-12-18,ST311704,일산복개천 공영주차장,0.704,ME183043,전하 공영주차장,환경부,50.0,"울산광역시 동구 진성8길 119 , 입구 소형차 주차구역",
2025-12-18,ST311704,일산복개천 공영주차장,0.704,ME183043,전하 공영주차장,환경부,50.0,"울산광역시 동구 진성8길 119 , 입구 소형차 주차구역",
2025-12-18,ST311702,동구청(울산),0.148,ME183045,울산동구청,환경부,50.0,"울산광역시 동구 봉수로 155, 보건소 앞 지상주차장",
2025-12-18,ST311702,동구청(울산),0.148,ME183045,울산동구청,환경부,50.0,"울산광역시 동구 봉수로 155, 보건소 앞 지상주차장",
2025-12-18,ST311704,일산복개천 공영주차장,0.944,ME183045,울산동구청,환경부,50.0,"울산광역시 동구 봉수로 155, 보건소 앞 지상주차장",
2025-12-18,ST311704,일산복개천 공영주차장,0.944,ME183045,울산동구청,환경부,50.0,"울산광역시 동구 봉수로 155, 보건소 앞 지상주차장",
2025-12-18,ST317108,기아자동차 언양대리점,0.643,ME183047,언양강변 공영주차장,환경부,50.0,울산광역시 울주군 언양읍 남부리 336-3,
2025-12-18,ST311401,이마트 울산점,0.327,ME183049,삼산2공영주차장,환경부,50.0,"울산광역시 남구 삼산동 1627-3, 입구 좌측",
2025-12-18,ST311401,이마트 울산점,0.327,ME183049,삼산2공영주차장,환경부,50.0,"울산광역시 남구 삼산동 1627-3, 입구 좌측",
2025-12-18,ST311401,이마트 울산점,0.327,ME183049,삼산2공영주차장,환경부,50.0,"울산광역시 남구 삼산동 1627-3, 입구 좌측",
2025-12-18,ST311401,이마트 울산점,0.327,ME183049,삼산2공영주차장,환경부,50.0,"울산광역시 남구 삼산동 1627-3, 입구 좌측",
2025-12-18,ST311401,이마트 울산점,0.327,ME183049,삼산2공영주차장,환경부,50.0,"울산광역시 남구 삼산동 1627-3, 입구 좌측",
2025-12-18,ST311401,이마트 울산점,0.327,ME183049,삼산2공영주차장,환경부,50.0,"울산광역시 남구 삼산동 1627-3, 입구 좌측",
2025-12-18,ST311412,공구월드상가옆 공영주차장,0.399,ME183049,삼산2공영주차장,환경부,50.0,"울산광역시 남구 삼산동 1627-3, 입구 좌측",
2025-12-18,ST311412,공구월드상가옆 공영주차장,0.399,ME183049,삼산2공영주차장,환경부,50.0,"울산광역시 남구 삼산동 1627-3, 입구 좌측",
