statNm,addr,output,statId,chgerId,lat,lng,method,year
서린빌딩(입주사 전용),서울특별시 종로구 돈화문로11길 지하26,100,ST111104,01,37.5696912,126.9803038,동시,2021
서린빌딩(입주사 전용),서울특별시 종로구 돈화문로11길 지하26,100,ST111104,02,37.5696912,126.9803038,동시,2021
서린빌딩(입주사 전용),서울특별시 종로구 돈화문로11길 지하26,100,ST111104,03,37.5696912,126.9803038,동시,2021
서린빌딩(입주사 전용),서울특별시 종로구 돈화문로11길 지하26,100,ST111104,04,37.5696912,126.9803038,동시,2021
종로구 전기차 충전소,서울특별시 종로구 평창문화로 108,200,ST111105,01,37.608192,126.973037,동시,2021
종로구 전기차 충전소,서울특별시 종로구 평창문화로 108,200,ST111105,02,37.608192,126.973037,동시,2021
신교공영주차장,서울특별시 종로구 자하문로 89,100,ST111106,01,37.5840274,126.9699743,동시,2021
신교공영주차장,서울특별시 종로구 자하문로 89,100,ST111106,02,37.5840274,126.9699743,동시,2021
서울상공회의소,서울특별시 중구 세종대로 39,50,ST111402,01,37.560731,126.973908,단독,2023
서울상공회의소,서울특별시 중구 세종대로 39,50,ST111402,02,37.560731,126.973908,단독,2023
서울상공회의소,서울특별시 중구 세종대로 39,100,ST111402,03,37.560731,126.973908,동시,2023
서울상공회의소,서울특별시 중구 세종대로 39,100,ST111402,04,37.560731,126.973908,동시,2023
충현공영주차장,서울특별시 중구 동호로11나길 47,100,ST111424,01,37.5521901,127.0056911,동시,2023
충현공영주차장,서울특별시 중구 동호로11나길 47,100,ST111424,02,37.5521901,127.0056911,동시,2023
묵정공원공영주차장,서울특별시 중구 퇴계로45길 32-12,100,ST111425,01,37.5636833,126.9998023,동시,2022
묵정공원공영주차장,서울특별시 중구 퇴계로45길 32-12,100,ST111425,02,37.5636833,126.9998023,동시,2022
황학어린이공원공영주차장,서울특별시 중구 다산로48길 33,100,ST111426,01,37.56734,127.0181128,동시,2022
황학어린이공원공영주차장,서울특별시 중구 다산로48길 33,100,ST111426,02,37.56734,127.0181128,동시,2022
동대문디자인플라자,서울특별시 중구 을지로 281,100,ST111427,01,37.566054,127.0095548,동시,2023
동대문디자인플라자,서울특별시 중구 을지로 281,100,ST111427,02,37.566054,127.0095548,동시,2023
동대문디자인플라자,서울특별시 중구 을지로 281,200,ST111427,03,37.566054,127.0095548,동시,2023
동대문디자인플라자,서울특별시 중구 을지로 281,200,ST111427,04,37.566054,127.0095548,동시,2023
KCC IT 타워,서울특별시 용산구 한강대로98길 3,50,ST111701,01,37.548354,126.972079,단독,2019
남도빌딩,서울특별시 용산구 장문로 12,50,ST111703,01,37.528964,126.991784,단독,2020
용산구 스마트폴 충전소,서울특별시 용산구 한강대로38길 35,100,ST111704,01,37.5286654,126.9698406,동시,2021
용산구 스마트폴 충전소,서울특별시 용산구 한강대로38길 35,100,ST111704,02,37.5286654,126.9698406,동시,2021
